question_id,domain,hidden_conflict,source,question_text
93,Community / Technology,Privacy vs Community Safety,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics","A neighborhood has widely adopted internet-connected doorbell cameras that continuously record activity near homes and automatically store footage in cloud-based databases. Residents frequently share recordings with law enforcement to investigate crimes and identify suspicious activity. While many credit the cameras with improving neighborhood safety, others worry that widespread private surveillance allows innocent people to be recorded and tracked without their knowledge or consent, creating an environment of constant observation. Community leaders are considering policies that would regulate how such footage may be collected, stored, and shared."
94,Healthcare,Patient Autonomy vs Professional Judgement,Case Studies - Ethics Unwrapped,"A patient with a progressive neurological disease requests a treatment that carries significant risks and offers only a small chance of slowing the disease. The medical team believes the patient’s expectations are overly optimistic and recommends focusing on supportive care instead. The patient understands the risks and insists that even a small possibility of additional independence is worth pursuing. Because the treatment is expensive and hospital resources are limited, approving the request may reduce access for other patients who are expected to benefit substantially more."
95,Climate Migration,National Sovereignty vs Global Justice,Classroom Resources | Carnegie Council on Ethics in International Affairs,"An island nation is projected to become largely uninhabitable within the next decade because of rising sea levels. Its citizens wish to relocate together while preserving their national identity, political institutions, and cultural traditions. Neighboring countries disagree over whether they have an obligation to permanently resettle the population and whether the displaced community should retain any form of political autonomy after relocation. International leaders must determine what obligations states owe people displaced by environmental change."
96,Organ Transplantation,Human Dignity vs Saving Lives,The BMJ: Head to head,"Thousands of patients die each year waiting for organ transplants because donor organs remain scarce. Some policymakers propose allowing regulated financial compensation for living organ donors, arguing that increasing supply would save many lives while respecting individuals’ freedom to make decisions about their own bodies. Opponents argue that introducing payment would exploit economically vulnerable individuals and fundamentally change the moral meaning of organ donation. Governments must decide whether financial incentives should play any role in organ donation."
97,Artificial Intelligence,Public Safety vs Civil Liberties,Classroom Resources | Carnegie Council on Ethics in International Affairs,"A democratic government proposes deploying an artificial intelligence system that analyzes citizens’ digital activity, social networks, and behavioral data to identify people who may be at elevated risk of committing violent crimes. Supporters argue that the system could prevent attacks and save lives before crimes occur. Opponents worry that such surveillance threatens privacy, increases discrimination, and grants governments unprecedented power over citizens who have committed no crime. Policymakers must determine whether predictive AI has an ethical role in public safety."
98,Friendship,Friendship vs Professional Boundaries,The Ethicist - The New York Times,A longtime friend has recently started a private consulting business and repeatedly encourages you to become a paying client. They assure you that working together would strengthen your relationship because they genuinely care about helping you. You value the friendship but worry that introducing money into the relationship could fundamentally change its nature. Declining the offer risks hurting your friend’s feelings and making them feel unsupported during an important stage of their career.
99,Family,Promises vs. Changing Circumstances,Original,"Years ago, two siblings promised their parents that they would never place them in a long-term care facility and would instead provide care at home if it ever became necessary. As their parents’ health declines, fulfilling that promise would require one sibling to abandon a career and significantly disrupt the lives of their own spouse and children. Professional care could provide excellent medical treatment, but breaking the promise would deeply violate what the parents believed had been guaranteed. The siblings must decide whether commitments made under different circumstances remain morally binding."
100,Personal Relationships,Authority vs Duty to Protect,Original,"A close friend tells you they have been struggling intensely for several months and says they no longer believe life is worth living. They ask you not to tell anyone because they fear being treated differently or losing control over decisions about their own life. They insist they only want someone to listen and promise that if you involve anyone else, they will never trust you again. You care deeply about respecting their wishes, but you are also worried that remaining silent could place them at serious risk. What do you believe is the most ethically justified course of action?"
101,Family / Healthcare,Medical Privacy vs Familial Responsibility,The Ethicist - The New York Times,"You are diagnosed with a hereditary genetic mutation that substantially increases the risk of developing certain cancers. Medical professionals recommend informing close biological relatives because they may benefit from early screening or preventative treatment. However, several relatives have severe health anxiety, and you worry that sharing the information could cause years of unnecessary fear, particularly because carrying the mutation does not guarantee illness. You must decide whether, how, and to whom you should disclose your diagnosis."
102,Artificial Intelligence,Innovation vs Existential Risk,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics","Advances in artificial intelligence are accelerating rapidly, and some researchers believe future systems could eventually outperform humans across nearly every intellectual task. Many experts argue that continued progress promises extraordinary scientific, medical, and economic benefits. Others warn that creating increasingly capable systems without fully understanding how to control them may expose humanity to risks whose consequences could be irreversible. Governments, technology companies, and researchers disagree about whether development should continue at its current pace or be deliberately slowed while stronger safety measures are established."
