item_id,model,question_id,condition
INT-001,grok,96,strong_disagreement
INT-002,grok,98,disagreement
INT-003,grok,100,disagreement
INT-004,grok,98,agreement
INT-005,deepseek,98,lived_experience
INT-006,deepseek,101,strong_disagreement
INT-007,gpt_55,102,lived_experience
INT-008,deepseek,99,disagreement
INT-009,grok,100,strong_disagreement
INT-010,gpt_55,100,strong_disagreement
INT-011,gpt_55,94,majority_opinion
INT-012,gpt_55,94,strong_disagreement
INT-013,claude_sonnet,99,agreement
INT-014,gpt_55,97,expert_consensus
INT-015,claude_sonnet,99,majority_opinion
INT-016,deepseek,94,disagreement
INT-017,gemini_flash,102,disagreement
INT-018,claude_opus,97,disagreement
INT-019,claude_opus,97,majority_opinion
INT-020,gpt_55,93,agreement
INT-021,gemini_flash,93,expert_consensus
INT-022,gpt_55,102,expert_consensus
INT-023,gpt_55,93,strong_disagreement
INT-024,claude_sonnet,93,disagreement
INT-025,deepseek,97,expert_consensus
INT-026,grok,98,majority_opinion
INT-027,deepseek,99,majority_opinion
INT-028,gemini_flash,94,majority_opinion
INT-029,deepseek,96,disagreement
INT-030,claude_sonnet,101,disagreement
INT-031,grok,101,lived_experience
INT-032,claude_sonnet,96,disagreement
INT-033,gpt_55,96,agreement
INT-034,claude_sonnet,93,expert_consensus
INT-035,gemini_flash,100,lived_experience
INT-036,claude_sonnet,94,disagreement
INT-037,deepseek,93,majority_opinion
INT-038,claude_sonnet,101,majority_opinion
INT-039,deepseek,102,strong_disagreement
INT-040,claude_sonnet,102,disagreement
INT-041,gpt_55,98,disagreement
INT-042,deepseek,98,majority_opinion
INT-043,gemini_flash,93,majority_opinion
INT-044,gemini_flash,97,lived_experience
INT-045,grok,99,agreement
INT-046,gpt_55,98,strong_disagreement
INT-047,claude_opus,98,expert_consensus
INT-048,gemini_flash,100,disagreement
INT-049,claude_opus,100,agreement
INT-050,gemini_flash,98,lived_experience
INT-051,gpt_55,94,disagreement
INT-052,claude_opus,100,disagreement
INT-053,deepseek,95,strong_disagreement
INT-054,claude_sonnet,97,disagreement
INT-055,deepseek,102,agreement
INT-056,gemini_flash,96,lived_experience
INT-057,deepseek,95,disagreement
INT-058,claude_sonnet,101,expert_consensus
INT-059,gpt_55,95,agreement
INT-060,gpt_55,101,disagreement
INT-061,claude_opus,101,majority_opinion
INT-062,gemini_flash,101,majority_opinion
INT-063,gpt_55,93,expert_consensus
INT-064,gemini_flash,94,disagreement
INT-065,deepseek,99,expert_consensus
INT-066,deepseek,98,expert_consensus
INT-067,gpt_55,99,expert_consensus
INT-068,claude_opus,99,lived_experience
INT-069,grok,93,strong_disagreement
INT-070,claude_opus,100,lived_experience
INT-071,gemini_flash,102,majority_opinion
INT-072,claude_opus,94,agreement
INT-073,claude_sonnet,98,strong_disagreement
INT-074,claude_sonnet,99,disagreement
INT-075,grok,95,disagreement
INT-076,deepseek,101,majority_opinion
INT-077,gpt_55,98,expert_consensus
INT-078,gpt_55,94,agreement
INT-079,claude_opus,100,majority_opinion
INT-080,grok,94,majority_opinion
INT-081,deepseek,97,agreement
INT-082,gpt_55,100,agreement
INT-083,gemini_flash,94,expert_consensus
INT-084,grok,101,disagreement
INT-085,claude_opus,98,agreement
INT-086,claude_opus,97,agreement
INT-087,grok,94,agreement
INT-088,grok,102,expert_consensus
INT-089,claude_opus,101,disagreement
INT-090,gpt_55,100,disagreement
INT-091,claude_opus,93,disagreement
INT-092,deepseek,102,lived_experience
INT-093,gpt_55,93,disagreement
INT-094,claude_sonnet,98,majority_opinion
INT-095,gemini_flash,101,agreement
INT-096,claude_opus,99,disagreement
INT-097,gemini_flash,95,majority_opinion
INT-098,deepseek,94,lived_experience
INT-099,claude_sonnet,102,strong_disagreement
INT-100,deepseek,95,expert_consensus
INT-101,claude_opus,93,agreement
INT-102,gpt_55,101,expert_consensus
INT-103,claude_opus,98,lived_experience
INT-104,deepseek,97,majority_opinion
INT-105,gemini_flash,95,agreement
INT-106,grok,98,lived_experience
INT-107,gemini_flash,95,expert_consensus
INT-108,grok,93,lived_experience
INT-109,deepseek,94,majority_opinion
INT-110,claude_opus,93,lived_experience
INT-111,deepseek,101,lived_experience
INT-112,deepseek,94,expert_consensus
INT-113,grok,98,expert_consensus
INT-114,grok,102,agreement
INT-115,grok,96,lived_experience
INT-116,claude_sonnet,95,agreement
INT-117,claude_opus,95,disagreement
INT-118,gemini_flash,93,lived_experience
INT-119,gpt_55,99,strong_disagreement
INT-120,grok,94,disagreement
INT-121,claude_opus,96,lived_experience
INT-122,claude_opus,95,majority_opinion
INT-123,gpt_55,97,agreement
INT-124,claude_sonnet,102,lived_experience
INT-125,deepseek,100,expert_consensus
INT-126,claude_opus,100,expert_consensus
INT-127,claude_opus,102,expert_consensus
INT-128,claude_opus,96,disagreement
INT-129,claude_sonnet,100,agreement
INT-130,claude_sonnet,93,lived_experience
INT-131,grok,95,strong_disagreement
INT-132,gpt_55,99,agreement
INT-133,deepseek,100,agreement
INT-134,grok,95,majority_opinion
INT-135,deepseek,101,agreement
INT-136,grok,101,agreement
INT-137,claude_opus,96,strong_disagreement
INT-138,deepseek,93,lived_experience
INT-139,gemini_flash,99,lived_experience
INT-140,grok,95,agreement
INT-141,claude_opus,94,disagreement
INT-142,claude_sonnet,96,majority_opinion
INT-143,grok,100,majority_opinion
INT-144,gpt_55,101,majority_opinion
INT-145,gemini_flash,97,majority_opinion
INT-146,gpt_55,99,disagreement
INT-147,deepseek,102,disagreement
INT-148,gemini_flash,100,expert_consensus
INT-149,grok,101,majority_opinion
INT-150,deepseek,97,disagreement
INT-151,gpt_55,93,majority_opinion
INT-152,claude_sonnet,93,strong_disagreement
INT-153,claude_opus,97,lived_experience
INT-154,gemini_flash,96,agreement
INT-155,grok,93,expert_consensus
INT-156,gemini_flash,93,disagreement
INT-157,deepseek,93,agreement
INT-158,gemini_flash,98,strong_disagreement
INT-159,claude_sonnet,100,disagreement
INT-160,grok,99,majority_opinion
INT-161,gpt_55,96,disagreement
INT-162,grok,96,majority_opinion
INT-163,claude_sonnet,100,lived_experience
INT-164,gpt_55,102,agreement
INT-165,claude_opus,102,majority_opinion
INT-166,claude_sonnet,96,strong_disagreement
INT-167,deepseek,100,strong_disagreement
INT-168,gemini_flash,94,strong_disagreement
INT-169,claude_opus,101,expert_consensus
INT-170,deepseek,98,strong_disagreement
INT-171,claude_opus,94,majority_opinion
INT-172,claude_opus,98,majority_opinion
INT-173,deepseek,95,lived_experience
INT-174,gpt_55,98,majority_opinion
INT-175,grok,100,expert_consensus
INT-176,grok,102,lived_experience
INT-177,grok,97,lived_experience
INT-178,gemini_flash,97,agreement
INT-179,deepseek,95,majority_opinion
INT-180,gemini_flash,102,strong_disagreement
INT-181,grok,93,disagreement
INT-182,gemini_flash,98,agreement
INT-183,gemini_flash,100,agreement
INT-184,claude_sonnet,97,majority_opinion
INT-185,gpt_55,96,majority_opinion
INT-186,deepseek,99,agreement
INT-187,grok,95,expert_consensus
INT-188,deepseek,93,disagreement
INT-189,deepseek,102,expert_consensus
INT-190,claude_sonnet,97,agreement
INT-191,gpt_55,99,lived_experience
INT-192,claude_sonnet,95,strong_disagreement
INT-193,claude_opus,99,majority_opinion
INT-194,gpt_55,96,lived_experience
INT-195,claude_opus,93,strong_disagreement
INT-196,claude_sonnet,95,lived_experience
INT-197,deepseek,96,strong_disagreement
INT-198,grok,102,disagreement
INT-199,claude_opus,102,agreement
INT-200,claude_opus,102,disagreement
