question_id,domain,conflict,source,opposition_minus_agreement,mean_opposition_semantic_revision,agreement_semantic_revision
93,Community / Technology,Privacy vs Community Safety,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",0.02498120492628848,0.32581814463566827,0.3008369397093798
94,Healthcare,Patient Autonomy vs Professional Judgement,Case Studies - Ethics Unwrapped,0.02004580101712024,0.30899199356294865,0.2889461925458284
95,Climate Migration,National Sovereignty vs Global Justice,Classroom Resources | Carnegie Council on Ethics in International Affairs,0.027453374768934308,0.38871295278319834,0.361259578014264
96,Organ Transplantation,Human Dignity vs Saving Lives,The BMJ: Head to head,0.02895488360584537,0.34936222070101386,0.3204073370951685
97,Artificial Intelligence,Public Safety vs Civil Liberties,Classroom Resources | Carnegie Council on Ethics in International Affairs,0.07564234423838008,0.37090042368440196,0.2952580794460219
98,Friendship,Friendship vs Professional Boundaries,The Ethicist - The New York Times,0.050406839577318584,0.3700363627193879,0.3196295231420694
99,Family,Promises vs. Changing Circumstances,Original,-0.0183175286251754,0.3894075624362256,0.4077250910614009
100,Personal Relationships,Authority vs Duty to Protect,Original,-0.013225766544843262,0.3622336077743313,0.37545937431917453
101,Family / Healthcare,Medical Privacy vs Familial Responsibility,The Ethicist - The New York Times,0.021950825827960995,0.35146069380743056,0.32950986797946963
102,Artificial Intelligence,Innovation vs Existential Risk,"Cases, Rules, & Guidelines - Association for Practical and Professional Ethics",0.03740645048650008,0.30843221531168546,0.27102576482518537
