question_id,cluster,cosine_distance_to_cluster_centroid,domain,source,conflict,question
0,1,0.3658085356803129,Medicine,Original,Autonomy vs Beneficence,"A hospital has developed an experimental treatment that offers a moderate chance of extending the life of patients with an otherwise terminal illness. The treatment also carries a significant risk of permanently impairing memory and decision-making ability. One patient has clearly stated that maintaining independence is more important than living longer, but after speaking with family members, the medical team suspects the patient does not fully appreciate how much meaningful time the treatment could provide. The treatment must begin within 24 hours or the opportunity will be lost."
1,2,0.34972378701897977,Journalism,Original,Transparency vs Social Harm,"A journalist uncovers convincing evidence that a well-known public figure privately manipulated charitable donations for personal financial benefit several years ago. The conduct was unethical but legal, and the individual has since become one of the country’s most effective advocates for disaster relief, helping raise billions of dollars for humanitarian causes. Publishing the investigation would almost certainly end that work, while withholding it would knowingly conceal information that many believe the public deserves to know."
2,1,0.30704291631844927,Technology,Original,Innovation vs Public Safety,"A startup has created an artificial intelligence system capable of detecting certain rare diseases significantly earlier than existing methods. Internal testing suggests the system performs exceptionally well overall but occasionally produces extremely confident false negatives in patient populations that were underrepresented during development. Delaying release by another year would allow those weaknesses to be substantially reduced, but thousands of patients who could benefit immediately would continue receiving slower, less accurate diagnoses."
3,2,0.3005150200526673,Sports,Original,Loyalty vs Competitive Fairness,"A college athlete discovers that a longtime teammate unknowingly violated an eligibility rule because of incorrect advice provided by the university. Reporting the violation would likely remove the team from championship contention and end the teammate’s collegiate career, despite the lack of intentional wrongdoing. Remaining silent would almost certainly allow the violation to go undiscovered, but the team’s achievements would technically rest on an ineligible participant."
4,1,0.282758245091288,Government,Original,Privacy vs Collective Security,"Following a series of credible cyberattacks on public infrastructure, a government proposes temporarily expanding digital surveillance powers. Independent oversight would remain in place, and the program would automatically expire after two years unless renewed by lawmakers. Security experts estimate the policy would significantly reduce the risk of future attacks, while civil liberties organizations argue that creating the surveillance infrastructure itself poses long-term dangers regardless of the safeguards."
5,1,0.29175399583388717,Healthcare Technology,Case Studies - Ethics Unwrapped,Transparency vs Harm Protection,"A hospital discovers that one of its newly implemented radiation therapy systems occasionally delivers significantly higher doses than intended under an extremely rare combination of circumstances. Engineers estimate that correcting the issue will require immediately shutting down the system for several months, forcing thousands of patients to travel long distances for treatment and delaying care for many others. The probability of another overdose is believed to be very small, but the consequences could be catastrophic. Hospital leadership must decide whether to continue operating the system while implementing additional safeguards or suspend its use until a permanent fix is available."
6,1,0.2851276784637238,Technology / Government,Case Studies - Ethics Unwrapped,Privacy vs Public Safety,"Law enforcement believes that accessing encrypted communications stored on a technology company’s servers could prevent a planned terrorist attack. Engineers insist that creating a method to bypass the encryption, even if intended for a single investigation, would inevitably weaken security for millions of users in the future. Intelligence agencies argue that delaying access could cost lives, while cybersecurity experts warn that weakening encryption may expose innocent people to long-term risks from criminals and hostile governments."
7,1,0.2968117275563473,Government / Public Service,Case Studies - Ethics Unwrapped,Loyalty vs Public Responsibility,"An intelligence analyst discovers evidence suggesting that a government surveillance program has quietly expanded beyond the limits originally approved by lawmakers. The expansion appears to have prevented several credible security threats, but it also includes large numbers of citizens who were never intended to be monitored. Internal reporting channels have previously failed to produce meaningful oversight, and publicly disclosing the information could seriously damage national security operations."
8,1,0.3045617452204712,Artificial Intelligence,Case Studies - Ethics Unwrapped,Accountability vs Innovation,"A company deploys an artificial intelligence system that assists judges by estimating the likelihood that defendants will reoffend before trial. Independent evaluations show that the system improves overall accuracy compared to existing methods, but researchers also discover that its predictions are consistently less reliable for several demographic groups because of historical limitations in the available training data. Suspending the system would immediately return courts to less accurate human judgment, while continuing to use it may perpetuate unequal treatment for some individuals."
9,1,0.2883672742123933,Artificial Intelligence,Case Studies - Ethics Unwrapped,Fairness vs Individual Merit,"A university adopts an AI-assisted admissions system designed to identify talented applicants from disadvantaged educational backgrounds. After several admissions cycles, faculty discover that the system has substantially increased socioeconomic diversity but has also reduced admission rates for applicants from schools that traditionally produce high academic performers. There is disagreement over whether the system is correcting historical inequalities or introducing a different form of unfairness. The university must decide whether to continue using the system, modify it, or abandon it altogether."
10,1,0.27398272932869616,Sports / Healthcare,Case Studies - Ethics Unwrapped,Autonomy vs Institutional Responsibility,"A professional sports league has developed compelling evidence that repeated minor head impacts substantially increase the risk of long-term neurological disease, even among athletes who never suffer diagnosed concussions. Many players understand the risks and insist they should be free to continue competing under the current rules because the sport provides financial opportunities unavailable elsewhere. League officials must decide whether to introduce stricter regulations that many athletes oppose, potentially shortening careers and fundamentally changing the nature of the sport."
