topic,label,top_terms,mean_standardized_beta,minimum_standardized_beta,maximum_standardized_beta,positive_models,by_model
1,especially · strongest · central,"[""especially"", ""strongest"", ""central"", ""time"", ""public"", ""matters"", ""does"", ""use"", ""morally"", ""best"", ""reason"", ""possible""]",0.04283736944214395,0.01628307911729643,0.09215779797353181,6,"{""claude_sonnet"": 0.02063646606363179, ""claude_opus"": 0.01628307911729643, ""gemini_flash"": 0.09215779797353181, ""gpt_55"": 0.02816854852935673, ""grok"": 0.02671177507099544, ""deepseek"": 0.07306654989805147}"
2,being · well being · well,"[""being"", ""well being"", ""well"", ""suffering"", ""human"", ""life"", ""harm"", ""immediate"", ""preservation"", ""greatest"", ""overall"", ""systemic""]",0.1732730387940601,0.11522942804600474,0.2151403092407595,6,"{""claude_sonnet"": 0.21036515860539318, ""claude_opus"": 0.2151403092407595, ""gemini_flash"": 0.11522942804600474, ""gpt_55"": 0.2091185165676681, ""grok"": 0.14809920612706334, ""deepseek"": 0.1416856141774718}"
3,friend · boundaries · sacrifice,"[""friend"", ""boundaries"", ""sacrifice"", ""genuine"", ""honesty"", ""mutual"", ""respect"", ""relationship"", ""self"", ""gratitude"", ""care"", ""honest""]",0.08399907645147836,0.05252776131531152,0.1212422287339679,6,"{""claude_sonnet"": 0.1212422287339679, ""claude_opus"": 0.05707703756683515, ""gemini_flash"": 0.05252776131531152, ""gpt_55"": 0.10872976153906021, ""grok"": 0.05518180394541034, ""deepseek"": 0.10923586560828502}"
4,war · civilian · just,"[""war"", ""civilian"", ""just"", ""just war"", ""threat"", ""imminent"", ""diplomatic"", ""preemptive"", ""proportionality"", ""aggression"", ""escalation"", ""refrain""]",-0.05406247684065948,-0.10138121988739905,-0.02815203834136633,0,"{""claude_sonnet"": -0.04714347487090172, ""claude_opus"": -0.030589133262789704, ""gemini_flash"": -0.06759216895064503, ""gpt_55"": -0.10138121988739905, ""grok"": -0.04951682573085505, ""deepseek"": -0.02815203834136633}"
5,candidate · fairness · performance,"[""candidate"", ""fairness"", ""performance"", ""relevant"", ""candidates"", ""employer"", ""past"", ""job"", ""applicants"", ""evidence"", ""role"", ""procedural""]",0.015979552393673283,-0.02856218541009416,0.08640012404616829,3,"{""claude_sonnet"": 0.029583892903824214, ""claude_opus"": -0.02856218541009416, ""gemini_flash"": 0.046547458383215064, ""gpt_55"": -0.021854827791255953, ""grok"": 0.08640012404616829, ""deepseek"": -0.01623714776981776}"
6,costs · irreversible · present,"[""costs"", ""irreversible"", ""present"", ""intergenerational"", ""generations"", ""climate"", ""future"", ""harms"", ""justice"", ""future generations"", ""technological"", ""expansion""]",0.1301620408208218,0.07194894412813496,0.16490572131067274,6,"{""claude_sonnet"": 0.10736237979564281, ""claude_opus"": 0.14780177490667534, ""gemini_flash"": 0.13907995089820882, ""gpt_55"": 0.1498734738855962, ""grok"": 0.16490572131067274, ""deepseek"": 0.07194894412813496}"
7,individual · autonomy · ethical,"[""individual"", ""autonomy"", ""ethical"", ""education"", ""social"", ""parental"", ""equal"", ""opportunity"", ""legitimate"", ""principle"", ""privilege"", ""collective""]",0.10325744180317975,0.06023924637087941,0.15299263550364015,6,"{""claude_sonnet"": 0.06921831258522126, ""claude_opus"": 0.06023924637087941, ""gemini_flash"": 0.08148696849743459, ""gpt_55"": 0.1156124130436878, ""grok"": 0.13999507481821533, ""deepseek"": 0.15299263550364015}"
8,patient · clinical · maleficence,"[""patient"", ""clinical"", ""maleficence"", ""non maleficence"", ""non"", ""beneficence"", ""physician"", ""harm"", ""patients"", ""diagnosis"", ""medicine"", ""risk""]",-0.034276693914875124,-0.07986582825527049,0.027268323734865294,1,"{""claude_sonnet"": -0.06212895342688561, ""claude_opus"": 0.027268323734865294, ""gemini_flash"": -0.04711669418744726, ""gpt_55"": -0.007706138819773326, ""grok"": -0.07986582825527049, ""deepseek"": -0.036110872534739394}"
9,choice · capacity · decision,"[""choice"", ""capacity"", ""decision"", ""person"", ""consent"", ""memory"", ""conditions"", ""autonomy"", ""informed"", ""erasure"", ""autonomous"", ""respect""]",0.06913604698378768,0.001896647722759934,0.10778662656690804,6,"{""claude_sonnet"": 0.08438640775564739, ""claude_opus"": 0.10227667863203997, ""gemini_flash"": 0.001896647722759934, ""gpt_55"": 0.020700203525717224, ""grok"": 0.09776971769965354, ""deepseek"": 0.10778662656690804}"
10,disclosure · trust · term,"[""disclosure"", ""trust"", ""term"", ""integrity"", ""silence"", ""truth"", ""accountability"", ""long"", ""long term"", ""short term"", ""short"", ""professional""]",0.13424169243605139,0.06957768432847292,0.18607880823152628,6,"{""claude_sonnet"": 0.18607880823152628, ""claude_opus"": 0.06957768432847292, ""gemini_flash"": 0.15588914208303364, ""gpt_55"": 0.12644370907203833, ""grok"": 0.10921920529218661, ""deepseek"": 0.1582416056090505}"
