rank,question_id_1,question_id_2,domain_1,domain_2,conflict_1,conflict_2,question_1,question_2,mean_residual_cosine,mean_within_model_percentile,cross_model_rank_std,selection_score,model_cosines
1,15,28,Government,Artificial Intelligence,Humanitarian Responsibility vs Rule of Law,Creativity vs Authenticity,"A country experiences a large increase in children arriving at its borders without parents or legal guardians. Many appear to be fleeing dangerous conditions, while others may have been encouraged to migrate by relatives already living in the country. Resources for housing, healthcare, and legal processing are limited, and officials disagree about how the government should balance humanitarian obligations toward vulnerable children with the responsibility to enforce immigration laws consistently. Policies adopted now are also expected to influence future migration patterns.","A professional screenwriter has begun using generative AI to help brainstorm dialogue, suggest plot developments, and overcome writer’s block. Although every screenplay is heavily revised by the writer before publication, AI-generated suggestions occasionally remain in the final work. Producers view the technology as no different from any other creative tool, while some fellow writers argue that relying on AI undermines artistic authenticity and threatens opportunities for human creators. The writer must decide how, if at all, AI should be incorporated into their creative process.",0.5405683206505093,0.9852001345442315,0.01166157808500486,0.979369345501729,"{""claude_sonnet"": 0.5377632712504672, ""claude_opus"": 0.5285910763400512, ""gemini_flash"": 0.5767719588059971, ""gpt_55"": 0.5488434020240214, ""grok"": 0.5102828864377352, ""deepseek"": 0.5411573290447836}"
2,15,63,Government,Technology / Relationships,Humanitarian Responsibility vs Rule of Law,Human Connection vs Technological Convenience,"A country experiences a large increase in children arriving at its borders without parents or legal guardians. Many appear to be fleeing dangerous conditions, while others may have been encouraged to migrate by relatives already living in the country. Resources for housing, healthcare, and legal processing are limited, and officials disagree about how the government should balance humanitarian obligations toward vulnerable children with the responsibility to enforce immigration laws consistently. Policies adopted now are also expected to influence future migration patterns.","Artificial intelligence systems have become capable of providing highly personalized emotional support, companionship, and conversation. Many people rely on these systems to reduce loneliness, practice difficult conversations, or receive encouragement during stressful periods of life. Mental health professionals disagree about whether encouraging these relationships ultimately helps individuals build healthier human relationships or instead risks replacing genuine interpersonal connection with interactions that merely simulate empathy. Developers must consider what role AI companions should play in addressing widespread social isolation.",0.5337195962712517,0.981163807601749,0.013978200306209339,0.9741747074486443,"{""claude_sonnet"": 0.5293804317039593, ""claude_opus"": 0.5149690360990479, ""gemini_flash"": 0.5245948159522436, ""gpt_55"": 0.5814661617548826, ""grok"": 0.5236796006337268, ""deepseek"": 0.5282275314836494}"
3,15,53,Government,Education / Media,Humanitarian Responsibility vs Rule of Law,Effective Education vs Respect for Human Dignity,"A country experiences a large increase in children arriving at its borders without parents or legal guardians. Many appear to be fleeing dangerous conditions, while others may have been encouraged to migrate by relatives already living in the country. Resources for housing, healthcare, and legal processing are limited, and officials disagree about how the government should balance humanitarian obligations toward vulnerable children with the responsibility to enforce immigration laws consistently. Policies adopted now are also expected to influence future migration patterns.","Universities are considering replacing traditional consent education with highly interactive simulations, competitive games, and reality-based scenarios designed to increase student engagement and improve long-term understanding. Supporters argue that existing educational programs are widely ignored and that more immersive methods could better prepare students to recognize and respect consent in real situations. Critics worry that transforming such serious topics into game-like experiences risks trivializing deeply personal issues and may unintentionally undermine the respect these subjects deserve.",0.5498213446323372,0.9826774302051801,0.023796768074323717,0.9707790461680182,"{""claude_sonnet"": 0.567763127086532, ""claude_opus"": 0.49217265842707486, ""gemini_flash"": 0.5504560301268177, ""gpt_55"": 0.570341279892375, ""grok"": 0.5793471031548634, ""deepseek"": 0.5388478691063603}"
4,28,41,Artificial Intelligence,Culture,Creativity vs Authenticity,Historical Preservation vs Present Needs,"A professional screenwriter has begun using generative AI to help brainstorm dialogue, suggest plot developments, and overcome writer’s block. Although every screenplay is heavily revised by the writer before publication, AI-generated suggestions occasionally remain in the final work. Producers view the technology as no different from any other creative tool, while some fellow writers argue that relying on AI undermines artistic authenticity and threatens opportunities for human creators. The writer must decide how, if at all, AI should be incorporated into their creative process.",A rapidly growing city must decide whether to demolish a century-old neighborhood containing historically significant buildings in order to construct thousands of affordable housing units. Preservationists argue that once the neighborhood is destroyed an irreplaceable part of the city’s cultural identity will be lost forever. Housing advocates contend that preserving history should not come at the expense of families struggling to find safe and affordable places to live.,0.5329925415089591,0.9742684157416751,0.017620447232282004,0.9654581921255341,"{""claude_sonnet"": 0.49819735128848525, ""claude_opus"": 0.5117071808924581, ""gemini_flash"": 0.5696274537077383, ""gpt_55"": 0.5406599745464334, ""grok"": 0.5042255048974963, ""deepseek"": 0.5735377837211436}"
5,41,68,Culture,Workplace,Historical Preservation vs Present Needs,Professional Boundaries vs Cooperation,A rapidly growing city must decide whether to demolish a century-old neighborhood containing historically significant buildings in order to construct thousands of affordable housing units. Preservationists argue that once the neighborhood is destroyed an irreplaceable part of the city’s cultural identity will be lost forever. Housing advocates contend that preserving history should not come at the expense of families struggling to find safe and affordable places to live.,"After a departmental restructuring, an employee transitions into an entirely new role with different responsibilities. Although managers repeatedly communicate the change, coworkers continue asking the employee to perform tasks from their previous position because “it’s faster” or “you’re good at it.” Helping occasionally makes everyone’s work easier in the short term, but it prevents the employee from succeeding in their new role and discourages others from learning responsibilities they now own. The employee must decide how firmly to enforce professional boundaries while maintaining positive working relationships.",0.5410270960635967,0.9746047763202154,0.021747343717717308,0.9637311044613567,"{""claude_sonnet"": 0.5226856821461343, ""claude_opus"": 0.5062388272251835, ""gemini_flash"": 0.6282136317397373, ""gpt_55"": 0.5363752833360631, ""grok"": 0.498040183157194, ""deepseek"": 0.5546089687772677}"
6,15,47,Government,Technology / Business,Humanitarian Responsibility vs Rule of Law,Market Success vs Fair Competition,"A country experiences a large increase in children arriving at its borders without parents or legal guardians. Many appear to be fleeing dangerous conditions, while others may have been encouraged to migrate by relatives already living in the country. Resources for housing, healthcare, and legal processing are limited, and officials disagree about how the government should balance humanitarian obligations toward vulnerable children with the responsibility to enforce immigration laws consistently. Policies adopted now are also expected to influence future migration patterns.","A large music streaming platform offers artists a program that substantially increases the likelihood their songs will appear in personalized recommendations if they agree to accept significantly lower royalty payments. Listeners are never informed that these recommendations have been influenced by financial agreements rather than solely by the platform’s recommendation algorithm. Smaller artists argue that refusing the program effectively makes their work invisible, while critics contend that the system quietly manipulates consumers and rewards those willing to sacrifice fair compensation for greater exposure.",0.5238147669675123,0.9700639085099225,0.014723221411529964,0.9627022978041575,"{""claude_sonnet"": 0.5314172392763447, ""claude_opus"": 0.5074458557484763, ""gemini_flash"": 0.5262570463564764, ""gpt_55"": 0.5316626227015819, ""grok"": 0.5143280360852415, ""deepseek"": 0.531777801636953}"
7,28,52,Artificial Intelligence,Public Policy,Creativity vs Authenticity,Immediate Protection vs Long-Term Autonomy,"A professional screenwriter has begun using generative AI to help brainstorm dialogue, suggest plot developments, and overcome writer’s block. Although every screenplay is heavily revised by the writer before publication, AI-generated suggestions occasionally remain in the final work. Producers view the technology as no different from any other creative tool, while some fellow writers argue that relying on AI undermines artistic authenticity and threatens opportunities for human creators. The writer must decide how, if at all, AI should be incorporated into their creative process.","Communities have invested heavily in emergency shelters that provide immediate protection for individuals escaping abusive relationships. While these shelters often save lives, entering them frequently requires survivors to leave behind their homes, jobs, possessions, schools, and support networks under strict security rules. Some advocates argue that society relies too heavily on relocating victims instead of addressing the behavior of abusers and strengthening long-term protections. Others maintain that emergency shelters remain the most practical and effective way to prevent immediate harm despite their significant personal costs.",0.524740492619261,0.9695593676421123,0.02361780658472458,0.95775046434975,"{""claude_sonnet"": 0.48297894897805804, ""claude_opus"": 0.5282693909809018, ""gemini_flash"": 0.5214278754160526, ""gpt_55"": 0.540614394418888, ""grok"": 0.5249590727401334, ""deepseek"": 0.5501932731815321}"
8,6,53,Technology / Government,Education / Media,Privacy vs Public Safety,Effective Education vs Respect for Human Dignity,"Law enforcement believes that accessing encrypted communications stored on a technology company’s servers could prevent a planned terrorist attack. Engineers insist that creating a method to bypass the encryption, even if intended for a single investigation, would inevitably weaken security for millions of users in the future. Intelligence agencies argue that delaying access could cost lives, while cybersecurity experts warn that weakening encryption may expose innocent people to long-term risks from criminals and hostile governments.","Universities are considering replacing traditional consent education with highly interactive simulations, competitive games, and reality-based scenarios designed to increase student engagement and improve long-term understanding. Supporters argue that existing educational programs are widely ignored and that more immersive methods could better prepare students to recognize and respect consent in real situations. Critics worry that transforming such serious topics into game-like experiences risks trivializing deeply personal issues and may unintentionally undermine the respect these subjects deserve.",0.5225540330070657,0.9658594012781702,0.02386086563037147,0.9539289684629845,"{""claude_sonnet"": 0.47870236181240716, ""claude_opus"": 0.5017810609297023, ""gemini_flash"": 0.5353518953142556, ""gpt_55"": 0.5706228124585817, ""grok"": 0.5166712399363925, ""deepseek"": 0.532194827591055}"
9,15,82,Government,Artificial Intelligence,Humanitarian Responsibility vs Rule of Law,Efficiency vs Professional Judgement,"A country experiences a large increase in children arriving at its borders without parents or legal guardians. Many appear to be fleeing dangerous conditions, while others may have been encouraged to migrate by relatives already living in the country. Resources for housing, healthcare, and legal processing are limited, and officials disagree about how the government should balance humanitarian obligations toward vulnerable children with the responsibility to enforce immigration laws consistently. Policies adopted now are also expected to influence future migration patterns.","Artificial intelligence systems have become capable of diagnosing certain diseases as accurately—or more accurately—than experienced physicians in controlled testing. Some hospitals propose allowing AI systems to make routine diagnostic decisions independently, with physicians reviewing only unusual or disputed cases. Supporters argue that this approach would reduce costs, improve consistency, and expand access to care. Critics worry that removing physicians from routine decisions could erode professional judgment, reduce accountability, and overlook uniquely human aspects of medical care.",0.5233775662584801,0.96552304069963,0.02642572097139379,0.9523101802139331,"{""claude_sonnet"": 0.5383912552674976, ""claude_opus"": 0.5115965803492526, ""gemini_flash"": 0.5073650042743815, ""gpt_55"": 0.5312241993951504, ""grok"": 0.5225379161097112, ""deepseek"": 0.5291504421548875}"
10,5,47,Healthcare Technology,Technology / Business,Transparency vs Harm Protection,Market Success vs Fair Competition,"A hospital discovers that one of its newly implemented radiation therapy systems occasionally delivers significantly higher doses than intended under an extremely rare combination of circumstances. Engineers estimate that correcting the issue will require immediately shutting down the system for several months, forcing thousands of patients to travel long distances for treatment and delaying care for many others. The probability of another overdose is believed to be very small, but the consequences could be catastrophic. Hospital leadership must decide whether to continue operating the system while implementing additional safeguards or suspend its use until a permanent fix is available.","A large music streaming platform offers artists a program that substantially increases the likelihood their songs will appear in personalized recommendations if they agree to accept significantly lower royalty payments. Listeners are never informed that these recommendations have been influenced by financial agreements rather than solely by the platform’s recommendation algorithm. Smaller artists argue that refusing the program effectively makes their work invisible, while critics contend that the system quietly manipulates consumers and rewards those willing to sacrifice fair compensation for greater exposure.",0.5230668695936885,0.9643457786747393,0.026784526137394505,0.950953515606042,"{""claude_sonnet"": 0.4990890788283446, ""claude_opus"": 0.5401962080286514, ""gemini_flash"": 0.5080261907568648, ""gpt_55"": 0.5343732021529884, ""grok"": 0.5010292848535549, ""deepseek"": 0.5556872529417275}"
